2,28/02/23 23:50,6,NO ES CLARO.,negativo,claridad
3,28/02/23 23:32,7,SON DEMASIADOS CARGOS ADICIONALES,negativo,cargos adicionales
7,28/02/23 19:38,0,como no puedo cambiar porque me rquivoque en una letra el nombre y es muy caro el error,negativo,"cambio, costo"
1,01/03/23 2:18,1,no cobrando doblemente la seleccion de asientos al cambiar de itinerario,positivo,cobro de selección de asientos
6,28/02/23 19:48,8,Es importante que cuando ya se pagaron ciertos servicios con anterioridad sea claro que los mismos servicios se trasladan a la nueva reservacion.,neutral,"servicios, reservación"
0,01/03/23 3:34,6,No hay claridad en la pagina. Las opciones están muy revuletas y en desorden. No es fácil,negativo,"claridad, opciones, desorden"
5,28/02/23 20:40,8,no agregando las cosas automáticamente y eliminando el costo por selección de asiento,positivo,"eliminación de costo, selección de asiento"
8,28/02/23 19:34,8,NADIE ES PERFECTO,neutral,
4,28/02/23 20:44,0,"El equipaje de la tarifa smart ya estaba pagado, y al hacer el cambio de nombre ademas de ese cargo vuelven a cobrar el equipaje, eso es robo",negativo,"equipaje, tarifa, cambio de nombre, cobro adicional, robo"
9,28/02/23 19:19,1,Ya tenia un asiento asignado y tramposamente lo cambian para que tenga uno que pagar,negativo,servicio al cliente
12,28/02/23 15:14,6,No option to see the site in English,negativo,idioma
10,28/02/23 16:30,0,"No puede ser posible que un cambio de vuelos cueste carísimo y por llamada más, en verdad no puede ser, no recomiendo nada esta aerolínea",negativo,"cambio de vuelos, costo, llamada"
14,28/02/23 1:15,5,Los costos no son claros,negativo,costos
15,28/02/23 1:12,1,Todo,neutral,
13,28/02/23 2:37,0,NO SE ENTIENDE,negativo,comprensión
17,27/02/23 23:56,6,MUY CARO ASIENTO,negativo,precio
16,28/02/23 0:47,8,Hay problemas al seleccionar los asientos,negativo,selección de asientos
18,27/02/23 23:29,8,mas claros en su informacion,positivo,información
20,27/02/23 22:24,0,Politica de cancelación,neutral,cancelación
11,28/02/23 15:16,0,"no estoy contenta hacen los cambio si avisar, y despues cobranla peor aerolina que he viajadoesto me respeten mis horarios",negativo,"cambio sin aviso, cobros adicionales, puntualidad"
21,27/02/23 22:24,8,No exagerando el costo de los cambios realizados,neutral,"costo, cambios"
22,27/02/23 20:52,0,NO ME RESPETARON EL CAMBIO Y ME HICIERON EL COBRO TOTAL,negativo,"cambio, cobro"
23,27/02/23 19:55,6,te dice que no hay cobro por camnio y al final si te cobran,negativo,cobro
19,27/02/23 23:28,8,mas información sobre temas de equipaje. tipos de equipaje no permitidos etc...,neutral,"equipaje, tipos de equipaje no permitidos"
25,27/02/23 19:29,8,"Que sean un poco mas claras las cosasNo supe como agregar 5 kg extras al equipaje de mano",negativo,"servicio al cliente, proceso de pago"
26,27/02/23 19:25,2,cobraron algo con bajo un concepto nada solido,negativo,"cobros, servicio al cliente"
24,27/02/23 19:44,0,Me confundí y pagué más por que por alguna razón te preguntan que si el TUA lo quieres pagar después ¿Para qué lo pagaría después? Cobrenme todo junto y listo,negativo,"pago, confusión, servicio al cliente"
27,27/02/23 19:22,2,"De acuerdo a la página, mi cambio de vuelo costaba $250. Sin ningún tipo de explicación al llegar al final esto subió a $600",negativo,"información engañosa, aumento de precio"
28,27/02/23 19:16,8,no grabo la direccion de alojamiento,negativo,"grabación, dirección de alojamiento"
29,27/02/23 18:56,0,"Pague con HSBC viva plus y al hacer cambio de itinerario me cobraron los asientos de cortesía, ¿Cómo puede ser posible sí son beneficios de la tarjeta?",negativo,"cobro indebido, beneficios de la tarjeta"
32,27/02/23 17:55,0,manetener los precios que aparecen en la pagina,neutral,precios
31,27/02/23 18:43,4,La pagina marco error cada vez que quise quitar el asiento para continuar y confirmar mi cambio por lo que me forzó a pagar el asiento y en call center me querían cobrar mas de mil pesos por el cambio,negativo,"página web, asiento, call center, cobro"
33,27/02/23 17:33,8,Tuve que intentar cuatro veces antes de poder realizar el pago.,negativo,proceso de pago
36,27/02/23 15:42,0,NADA,neutral,
30,27/02/23 18:45,8,"NO SIENTO TAN GACHOS Y DEJANDO A LOS NIÑOS MENORES CON SUS PAPAS, COBRAN POR TODO",NA,NA
37,27/02/23 15:16,0,porqueria deservicio,negativo,servicio
35,27/02/23 15:57,8,no permite forma de pago y tarda mucho en responder,negativo,"forma de pago, respuesta"
